VMATRI PROM HORAS ESTRATO
688.091 4.1 22 3
398.030 3.6 25 3
448.689 3.6 23 2
744.597 3.7 28 3
600.021 3.1 27 2
698.038 3.5 32 5
726.512 3.6 21 4
665.625 3.3 25 2
775.781 3.1 24 3
603.520 4.0 21 3
626.904 4.0 26 2
784.329 3.3 17 2
735.580 3.6 22 6
690.068 2.9 21 3
830.261 3.5 16 6
551.256 3.4 30 2
875.656 3.4 14 3
744.263 4.1 19 3
758.097 3.7 24 4
916.553 3.3 24 2
768.604 4.2 20 3
811.672 3.1 28 3
647.544 3.7 25 2
696.628 3.3 23 3
574.357 3.5 24 4
883.907 3.1 28 2
716.057 3.7 22 5
770.971 4.1 22 2
819.565 3.8 22 3
375.045 3.1 30 2
556.316 3.6 19 3
674.578 3.9 26 3
724.713 3.6 30 2
833.383 3.9 18 2
548.872 4.2 24 3
816.701 3.5 17 2
466.533 2.9 24 2
567.848 3.4 25 1
741.486 4.1 28 2
451.016 3.1 19 2
678.455 3.2 29 5
828.969 4.1 24 3
546.325 3.1 23 3
292.575 3.2 28 3
807.998 3.7 26 5
703.677 3.4 19 5
604.819 3.3 24 3
596.642 2.9 29 1
867.888 4.0 29 2
711.041 3.3 26 3
608.457 3.3 21 2
582.994 3.0 19 2
530.447 3.7 31 3
573.607 3.9 24 3
859.189 2.9 26 3
894.588 3.3 27 3
601.303 3.2 22 3
892.078 3.5 24 3
529.983 3.6 27 2
504.154 2.9 23 3
451.049 3.8 20 2
778.384 3.6 26 3
458.288 3.0 22 4
568.896 3.4 29 2
923.586 3.4 19 2
261.663 3.8 22 6
666.420 3.6 24 2
641.439 3.9 24 2
704.470 3.4 28 2
749.071 3.6 24 2
445.374 3.7 30 3
866.201 4.0 27 4
758.857 3.7 27 3
664.192 3.8 31 4
298.957 3.2 30 3
703.434 3.8 25 4
496.790 3.1 23 1
593.627 3.7 20 5
702.963 3.9 34 1
627.181 3.3 19 3
635.520 3.5 26 4
440.866 3.4 24 1
595.630 3.9 25 2
755.274 3.9 20 6
563.074 3.2 28 2
522.497 3.6 25 3
864.231 3.8 30 2
421.543 2.9 25 2
599.559 3.3 25 4
799.715 3.1 28 3
656.957 3.9 25 2
807.494 3.3 26 3
828.101 4.1 28 2
545.243 3.2 23 2
481.332 4.1 22 4
714.219 3.8 21 3
359.810 3.4 24 1
697.846 3.2 23 5
667.700 3.3 25 4
481.301 4.1 21 2
935.477 3.6 31 3
937.268 3.0 20 3
450.60 3.5 20 3
550.75 4.1 25 3
639.38 3.4 30 3
526.93 3.1 21 1
368.45 3.4 25 4
776.73 3.3 23 2
856.72 3.7 21 3
889.53 3.0 23 2
730.09 3.1 22 1
782.20 3.3 28 3
882.02 3.7 30 1
514.10 3.8 25 4
766.39 2.7 20 5
872.70 3.3 26 3
568.29 3.9 33 3
678.70 3.3 30 2
789.55 3.8 29 2
857.15 3.4 27 2
717.16 3.5 27 2
715.19 3.6 24 3
445.74 3.5 24 3
822.97 3.1 21 5
948.25 3.6 25 3
574.59 3.2 16 3
134.05 3.1 22 6
604.00 3.8 26 2
751.73 4.3 22 2
1012.63 2.8 25 2
693.03 3.7 29 5
778.59 3.9 22 2
839.18 3.5 27 2
466.91 3.0 23 3
625.61 3.3 23 3
643.41 3.1 20 3
580.08 3.4 22 1
537.24 3.6 23 3
436.69 3.1 24 2
487.87 4.0 28 6
757.53 3.1 24 2
865.07 4.1 31 4
493.23 3.6 20 2
444.45 3.5 21 2
499.34 4.0 30 4
507.86 3.9 23 3
625.13 4.1 28 3
519.00 4.1 25 2
647.25 3.0 20 2
766.32 4.2 26 3
606.69 3.4 20 4
550.84 3.6 23 3
921.16 3.4 26 2
480.716 3.4 24 4
737.963 3.4 24 3
696.433 4.2 18 3
595.139 3.2 26 3
639.628 4.0 21 2
904.775 4.1 27 3
587.193 3.6 15 3
615.352 4.0 31 6
571.045 2.9 24 2
758.639 3.6 21 3
587.520 3.4 17 3
541.419 3.5 22 4
757.126 3.1 20 2
731.293 3.6 23 3
776.092 3.9 27 1
735.252 3.6 20 2
745.970 3.4 27 5
712.152 3.5 28 6
665.136 2.9 20 3
651.915 3.4 23 5
662.292 3.3 24 5
706.850 3.8 18 2
521.483 3.2 18 2
784.263 4.2 27 2
550.277 3.5 20 4
555.906 3.3 25 2
203.951 4.0 26 4
503.593 2.9 24 2
635.993 3.2 22 4
515.258 4.4 20 3
756.422 3.5 24 3
683.046 3.3 27 4
653.970 3.2 22 3
703.495 4.1 17 3
920.626 3.3 31 3
704.647 2.7 30 1
794.544 3.8 19 2
760.518 3.5 24 6
531.503 2.8 25 2
489.547 2.9 29 2
961.548 3.6 25 2
703.282 2.8 19 6
862.933 3.8 29 3
862.530 3.1 28 2
666.180 4.2 25 2
756.277 3.1 20 3
459.471 2.9 24 3
577.930 3.6 23 5
452.928 3.3 25 4
487.092 4.4 31 2
609.331 4.2 31 4
358.805 3.1 20 3
775.885 3.6 27 1
539.651 3.1 27 2
637.462 3.6 20 5
763.590 3.5 30 5
632.112 4.1 16 3
600.375 3.7 28 3
826.453 3.7 20 3
665.526 3.6 26 1
515.352 3.9 31 2
354.715 3.4 21 3
644.949 3.1 25 2
792.996 3.9 26 5
550.349 3.4 25 1
492.182 3.2 24 3
761.525 3.6 25 3
615.097 2.8 29 5
917.063 3.7 23 3
523.338 3.3 22 5
674.376 3.1 26 2
609.815 3.5 29 3
577.053 3.8 21 2
596.774 2.9 27 3
523.433 3.5 22 2
681.003 3.4 23 5
917.545 3.5 27 1
498.949 4.0 28 6
922.396 3.7 18 3
783.524 3.2 23 2
947.621 3.5 28 3
479.335 3.5 19 3
670.155 3.3 19 4
444.267 4.5 22 3
565.583 3.4 25 2
879.153 3.5 21 6
576.184 3.9 32 6
767.163 3.7 28 6
730.743 3.9 21 2
408.805 3.2 25 2
840.469 3.3 26 3
632.034 3.6 30 3
527.554 3.7 20 4
679.033 3.3 28 2
611.965 3.3 19 4
606.866 3.5 21 5
714.887 3.6 24 3
861.714 3.5 25 1
688.977 4.4 20 4
553.023 3.3 30 6
619.206 3.1 14 3
620.819 3.8 26 3
498.841 3.7 30 6
621.192 3.5 29 3
